Name,Gender,Age,Country,HighSchoolName,HighSchoolLocation,HSGA,SAT,GAT,Languages,FirstGenerationCollegeStudent,FinancialAidNeeded,CGPA,CGPA_Category
Melissa Oliver,Male,18,France,Lee-Rodriguez School,Toronto,7.0,1531.0,76.0,German,Yes,No,3.17,Excellent
Cody Adkins,Female,17,Japan,Charles LLC School,Sydney,10.0,1506.0,79.0,German,Yes,Yes,2.98,Good
Meagan Mccormick,Female,17,Philippines,"Williams, Jones and Tran School",Dubai,9.0,1429.0,94.0,French,Yes,No,2.37,Good
Rebecca Gardner,Male,17,Germany,Caldwell PLC School,Phoenix,8.0,1582.0,74.0,English,No,Yes,3.64,Excellent
Joshua Cohen,Male,17,Indonesia,"Harris, Massey and Lewis School",Paris,7.0,1280.0,95.0,French,Yes,Yes,0.98,Poor
Larry Solomon,Male,18,Vietnam,Finley-Phillips School,Moscow,7.0,1244.0,64.0,French,Yes,No,0.4,Poor
Rachel Hayes,Female,18,Brazil,Tucker-Lopez School,Houston,6.0,1542.0,91.0,Spanish,No,No,3.39,Excellent
Kaitlyn Henry,Male,18,US,Howard PLC School,Houston,9.0,1376.0,94.0,German,No,No,1.88,Average
Christopher Shah,Female,18,Iran,Adams-Allen School,New York,8.0,1539.0,67.0,German,Yes,Yes,3.18,Excellent
Sheila Brennan,Male,17,US,"Rogers, Hunt and Smith School",Paris,9.0,1557.0,77.0,English,Yes,Yes,3.43,Excellent
Michael Price,Female,19,Pakistan,Hartman PLC School,Tokyo,6.0,1225.0,67.0,English,Yes,No,0.24,Poor
John Cervantes,Female,18,Australia,"Phillips, Adkins and Williams School",Los Angeles,10.0,1553.0,88.0,Spanish,Yes,Yes,3.49,Excellent
Tiffany Mueller,Male,18,Mexico,Foster LLC School,Cape Town,9.0,1379.0,81.0,Spanish,No,No,1.8,Average
Samantha Holden,Male,17,Egypt,"Moore, Lewis and Rivera School",Toronto,7.0,1404.0,85.0,German,Yes,Yes,2.06,Good
Antonio Rodriguez,Female,17,Colombia,Chen and Sons School,London,7.0,1451.0,68.0,English,No,No,2.36,Good
Peter Small DDS,Male,17,China,Costa-Murray School,Phoenix,7.0,1571.0,68.0,German,No,No,3.48,Excellent
Ashley Watson,Male,17,Egypt,Diaz-Perry School,Tokyo,7.0,1208.0,62.0,Spanish,No,Yes,0.05,Poor
Jimmy Brown,Male,19,Argentina,Jackson LLC School,Dubai,8.0,1391.0,73.0,Spanish,Yes,Yes,1.85,Average
Tina Ray,Female,19,Egypt,Johnson LLC School,Toronto,8.0,1475.0,82.0,French,Yes,Yes,2.7,Good
Bobby Yang,Male,18,Mexico,"Wilson, Haas and Jackson School",Chicago,7.0,1489.0,94.0,Spanish,No,Yes,2.92,Good
Angela Buchanan,Male,19,Vietnam,King Inc School,Paris,8.0,1477.0,87.0,Spanish,No,Yes,2.76,Good
Francisco Cain,Male,18,UK,Adams-Shah School,Tokyo,7.0,1254.0,77.0,French,No,No,0.6,Poor
Crystal Myers,Male,18,France,Austin and Sons School,Sydney,7.0,1320.0,98.0,German,No,Yes,1.38,Average
Richard Conrad,Female,19,Iran,"Young, Glover and Stewart School",Beijing,7.0,1343.0,89.0,English,Yes,Yes,1.52,Average
Stephanie Gonzales,Male,18,France,Garcia-Alvarez School,Sydney,8.0,1522.0,97.0,Spanish,Yes,Yes,3.26,Excellent
Anita Baxter,Female,17,China,Rodriguez and Sons School,Cape Town,9.0,1312.0,81.0,English,No,Yes,1.18,Average
Melanie Aguilar,Female,18,Philippines,"Martin, Mercado and Fields School",Phoenix,7.0,1284.0,70.0,German,No,No,0.82,Poor
Cynthia Estrada,Female,17,Brazil,"Baker, Shaffer and Andersen School",Sydney,8.0,1583.0,62.0,French,No,Yes,3.55,Excellent
Amanda Wells,Male,19,Pakistan,Freeman PLC School,Beijing,8.0,1204.0,89.0,English,No,Yes,0.23,Poor
Sara Graves,Male,19,Canada,Jones-Lee School,Sydney,6.0,1599.0,65.0,English,No,No,3.71,Excellent
Debbie Wagner,Male,18,Japan,King-Lynch School,Dubai,8.0,1471.0,72.0,German,No,No,2.58,Good
Vanessa Villanueva,Female,17,Iran,Gomez PLC School,Paris,7.0,1531.0,81.0,French,No,Yes,3.21,Excellent
Lori Dalton,Female,18,Mexico,Joseph-Castro School,Cape Town,6.0,1318.0,83.0,Spanish,Yes,Yes,1.24,Average
Rebecca Collins,Male,19,Turkey,Swanson-Green School,Chicago,10.0,1206.0,84.0,German,Yes,No,0.22,Poor
Dawn Martin,Female,18,India,"Jordan, Cook and Doyle School",Sydney,10.0,1495.0,67.0,Spanish,Yes,Yes,2.78,Good
Andrew Martin,Male,18,Japan,Carlson and Sons School,Chicago,9.0,1534.0,75.0,English,Yes,No,3.2,Excellent
Calvin Cisneros,Male,17,Spain,Robertson-Thompson School,Dubai,7.0,1496.0,85.0,French,Yes,Yes,2.92,Good
Tammy Garrett,Male,19,Canada,Gomez-Kemp School,Beijing,6.0,1257.0,99.0,German,Yes,No,0.8,Poor
