Name,Gender,Age,Country,HighSchoolName,HighSchoolLocation,HSGA,SAT,GAT,Languages,FirstGenerationCollegeStudent,FinancialAidNeeded,CGPA,CGPA_Category_Predicted
Gloria Arias,Female,18,Indonesia,Barnes-Rose School,Vancouver,7.0,1531.0,76.0,English,Yes,Yes,3.17,Excellent
John Burton,Female,17,Italy,"Walters, Dunn and Escobar School",Tokyo,10.0,1506.0,79.0,German,Yes,No,2.98,Good
Mrs. Julie Harris MD,Female,17,South Korea,"Sullivan, Webster and Flores School",Vancouver,9.0,1429.0,94.0,French,Yes,Yes,2.38,Good
Susan Meza,Female,17,Italy,Smith-Marsh School,Paris,8.0,1582.0,74.0,French,Yes,Yes,3.63,Excellent
Matthew Flowers,Female,17,US,Miller-Ray School,Dubai,7.0,1280.0,95.0,German,No,No,0.99,Poor
John Willis,Female,18,South Africa,"Harrison, Navarro and Lopez School",Dubai,7.0,1244.0,64.0,English,Yes,Yes,0.4,Poor
Nicholas Miller,Male,18,India,Gutierrez Group School,Phoenix,6.0,1542.0,91.0,English,Yes,No,3.39,Excellent
Mrs. Leslie Bowman,Female,18,China,"Burke, Aguirre and Fleming School",Houston,9.0,1376.0,94.0,German,Yes,Yes,1.88,Average
Elizabeth Armstrong,Male,18,Australia,Williams-Tucker School,Tokyo,8.0,1539.0,67.0,Spanish,Yes,No,3.17,Excellent
Eric Wagner,Male,17,Japan,Jimenez-Ball School,Tokyo,9.0,1557.0,77.0,English,No,Yes,3.43,Excellent
Melissa Williams,Female,19,Iran,Hall-Green School,Vancouver,6.0,1225.0,67.0,French,No,No,0.24,Poor
Derrick Lopez,Male,18,Thailand,Palmer-Hudson School,Los Angeles,10.0,1553.0,88.0,English,Yes,No,3.49,Excellent
Andrea Bonilla,Female,18,Argentina,Mullins Ltd School,London,9.0,1379.0,81.0,English,Yes,Yes,1.8,Average
David Harris,Male,17,Germany,"Russell, Hodge and Kemp School",Berlin,7.0,1404.0,85.0,French,Yes,No,2.06,Good
Dillon Dixon,Male,17,Germany,"Dickson, Edwards and Livingston School",Paris,7.0,1451.0,68.0,French,No,No,2.36,Good
Charles Molina,Male,17,Spain,Wallace-Mason School,Tokyo,7.0,1571.0,68.0,Spanish,No,Yes,3.47,Excellent
Christopher Huber,Male,17,Germany,Miller-Brown School,Houston,7.0,1208.0,62.0,Spanish,No,Yes,0.05,Poor
Stephanie Brewer,Male,19,Russia,Watkins LLC School,Moscow,8.0,1391.0,73.0,French,No,Yes,1.85,Average
Gary Torres,Female,19,Philippines,Bautista and Sons School,Cape Town,8.0,1475.0,82.0,French,Yes,Yes,2.7,Good
Marcus Patterson,Male,18,Italy,Spence LLC School,Vancouver,7.0,1489.0,94.0,French,No,No,2.92,Good
Louis Powell,Female,19,Turkey,Cooper LLC School,Moscow,8.0,1477.0,87.0,German,No,No,2.76,Good
Ashley Cummings,Male,18,Bangladesh,"West, Richardson and Stewart School",Paris,7.0,1254.0,77.0,German,No,Yes,0.6,Poor
Kim Morgan,Male,18,Iran,Thomas Group School,London,7.0,1320.0,98.0,Spanish,No,No,1.38,Average
Anne Murphy,Female,19,Italy,"Clark, Wright and Holmes School",Berlin,7.0,1343.0,89.0,English,Yes,Yes,1.52,Average
Christina Greene,Female,18,France,Brown-Ashley School,Cape Town,8.0,1522.0,97.0,Spanish,Yes,Yes,3.26,Excellent
Stephen Neal,Male,17,US,Turner-Simmons School,Beijing,9.0,1312.0,81.0,German,No,No,1.18,Average
Gregory Harper,Male,18,Egypt,Harris-Nguyen School,Houston,7.0,1284.0,70.0,French,Yes,Yes,0.82,Poor
Michelle Cook,Male,17,UK,Trevino-Henderson School,Houston,8.0,1583.0,62.0,French,No,Yes,3.54,Excellent
Philip Garza,Male,19,Turkey,Noble-Davis School,Phoenix,8.0,1204.0,89.0,Spanish,No,Yes,0.24,Poor
Michele Chapman,Female,19,Australia,"Cohen, Meyer and Walsh School",London,6.0,1599.0,65.0,Spanish,Yes,No,3.71,Excellent
Justin Fisher,Female,18,US,"Bell, Bryan and Lynch School",Berlin,8.0,1471.0,72.0,French,Yes,Yes,2.58,Good
Noah Mcfarland,Male,17,Italy,Brown Ltd School,New York,7.0,1531.0,81.0,Spanish,Yes,Yes,3.21,Excellent
Joseph Baker,Female,18,Russia,Collins and Sons School,Sydney,6.0,1318.0,83.0,French,No,No,1.24,Average
Meredith Bell,Female,19,Russia,Cooley LLC School,London,10.0,1206.0,84.0,Spanish,Yes,Yes,0.22,Poor
Dr. Holly Aguilar MD,Male,18,Brazil,Smith LLC School,London,10.0,1495.0,67.0,French,Yes,Yes,2.77,Good
Kenneth Hernandez,Male,18,France,"Sullivan, Carter and Saunders School",Beijing,9.0,1534.0,75.0,German,No,No,3.2,Excellent
Tyler Thornton,Male,17,Mexico,Good-Villa School,Cape Town,7.0,1496.0,85.0,Spanish,Yes,No,2.92,Good
Richard Thomas,Male,19,Indonesia,"Woodard, Douglas and Rogers School",Sydney,6.0,1257.0,99.0,French,No,Yes,0.8,Poor
Mary Cameron,Male,18,France,Carroll-Harris School,Toronto,9.0,1501.0,89.0,English,Yes,No,3.01,Good
Thomas Tapia,Male,17,Indonesia,Jones and Sons School,Berlin,8.0,1508.0,97.0,German,Yes,No,3.13,Excellent
Nancy Green,Female,18,South Korea,Gray-Kennedy School,Los Angeles,6.0,1463.0,90.0,English,Yes,No,2.64,Good
Phillip Freeman,Female,17,Japan,King-Calhoun School,Sydney,8.0,1506.0,84.0,Spanish,No,Yes,3.01,Excellent
Timothy Hill,Female,17,Egypt,Potts-Dean School,Houston,6.0,1538.0,68.0,English,Yes,Yes,3.16,Excellent
Lucas Scott,Male,18,Pakistan,Green PLC School,Moscow,10.0,1445.0,87.0,English,Yes,No,2.47,Good
Alicia Neal,Male,19,Australia,Williams LLC School,Los Angeles,7.0,1235.0,85.0,English,Yes,No,0.49,Poor
Samuel Fletcher,Male,19,Pakistan,Calhoun-Lara School,Dubai,9.0,1395.0,84.0,Spanish,No,No,1.98,Average
Mr. Brian Dean,Male,17,South Korea,Thompson-Gentry School,Dubai,7.0,1231.0,80.0,French,Yes,No,0.41,Poor
Bryan Snow,Male,19,Canada,Mueller-Rosario School,New York,8.0,1363.0,81.0,French,No,No,1.65,Average
Kevin Nelson,Female,17,Turkey,Adams-Rogers School,Vancouver,8.0,1363.0,73.0,French,Yes,No,1.59,Average
Samuel Morales,Female,19,Colombia,Kelly LLC School,Sydney,7.0,1226.0,81.0,Spanish,No,Yes,0.37,Poor
Stephanie Ritter,Female,18,US,Smith-Hebert School,Beijing,10.0,1340.0,68.0,Spanish,No,No,1.34,Average
Nicole Lopez,Male,19,France,"Dunn, Wilson and Wilson School",New York,9.0,1244.0,92.0,German,Yes,No,0.64,Poor
Jennifer Sanchez,Female,17,Nigeria,Anderson Inc School,Chicago,10.0,1523.0,67.0,Spanish,No,No,3.04,Excellent
Paula Estes,Male,17,Nigeria,Brown-Graves School,Los Angeles,10.0,1579.0,63.0,English,Yes,No,3.52,Excellent
Elizabeth Cobb,Male,19,US,"Porter, Berry and Mayer School",Tokyo,8.0,1229.0,77.0,French,Yes,No,0.37,Poor
Brian Lee,Female,18,Vietnam,Myers-Peterson School,New York,10.0,1582.0,86.0,German,Yes,No,3.74,Excellent
Lisa Gamble,Male,17,Japan,"Whitaker, Adams and Roberts School",Berlin,6.0,1409.0,78.0,German,Yes,Yes,2.04,Good
Paul Morgan,Female,17,Argentina,Frost PLC School,Beijing,7.0,1320.0,71.0,Spanish,Yes,Yes,1.16,Average
Shane Townsend,Female,17,Turkey,Kelly-Garcia School,Houston,6.0,1231.0,82.0,English,No,No,0.42,Poor
Kathryn Wolfe,Female,17,Pakistan,"Rogers, Smith and Myers School",Berlin,7.0,1400.0,74.0,English,Yes,No,1.93,Average
Peggy Romero,Female,17,Mexico,"Bishop, Carter and Jennings School",Los Angeles,8.0,1518.0,97.0,German,Yes,No,3.22,Excellent
Roger Jones,Female,18,Nigeria,Johnson Inc School,Los Angeles,7.0,1483.0,97.0,English,No,No,2.89,Good
Lisa Patel,Female,19,US,Gibson-Brown School,Berlin,9.0,1220.0,80.0,German,No,Yes,0.32,Poor
Mr. Jesse Horn,Male,18,Argentina,Scott Ltd School,Paris,7.0,1229.0,73.0,French,No,No,0.33,Poor
Charles Waller,Female,18,Thailand,"Carrillo, Fischer and Thompson School",Houston,7.0,1361.0,89.0,English,No,No,1.69,Average
Jocelyn Holmes,Male,17,UK,Calhoun-Brown School,Los Angeles,8.0,1318.0,61.0,French,No,Yes,1.07,Average
Rebekah Russell,Female,18,Italy,"Wilson, Mora and West School",Cape Town,7.0,1293.0,79.0,English,No,No,0.98,Poor
Tara Todd,Male,17,Indonesia,"Torres, Wyatt and Taylor School",Dubai,9.0,1312.0,73.0,Spanish,No,Yes,1.12,Average
